Year,Month,Rainfall,Average GWL
2023.0,6.0,0.32,-10.85249996
2023.0,7.0,136.9,-11.253437564375
2023.0,8.0,7.140000000000001,-11.078499937
2023.0,9.0,32.92,-12.02062493625
2023.0,10.0,0.49,-11.2300000175
2023.0,11.0,9.64,-10.786666591666666
2023.0,12.0,13.46,-11.571666716666668
2024.0,1.0,0.31,-12.1675000175
2024.0,4.0,6.93,-14.06312507375
2024.0,5.0,109.87,-14.586597243819446
2024.0,6.0,121.8,-13.808431368039216
2024.0,7.0,85.32,-10.150833354777777
2024.0,8.0,177.06,-11.300333301
2024.0,9.0,76.39999999999999,-11.834615437692309
2024.0,10.0,55.64,-11.38468751328125
2024.0,11.0,2.22,-8.242500066875
2024.0,12.0,0.38,-8.420000076500001
